blueKills,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueTotalGold,blueKills_set,blueTotalGold_min/kills
8,235,59,18343,,
5,198,44,15596,,
4,229,53,15812,,
6,221,44,15947,,
5,196,40,14997,,
7,215,42,16463,,
6,225,46,16072,,
7,253,64,19140,,
4,188,53,14547,,
5,188,63,15644,,
5,213,47,15734,,
5,229,39,16794,,
6,200,43,15930,,
6,240,56,16936,,
9,230,51,17941,,
2,222,33,13698,,
5,238,64,15943,,
4,222,68,15891,,
5,211,71,16216,,
3,186,62,14754,,
8,229,40,16909,,
10,218,70,18858,,
6,180,45,15952,,
1,187,48,13286,,
6,269,40,16812,,
9,178,60,17906,,
4,263,53,16408,,
4,198,46,15056,,
6,240,43,17831,,
1,223,34,13738,,
14,212,54,20317,,
0,233,60,14091,,
6,191,39,16036,,
6,210,54,17052,,
4,268,52,16354,,
10,242,48,18297,,
6,222,36,15748,,
8,229,59,17886,,
11,174,38,17069,,
4,252,57,16631,,
1,231,65,14766,,
8,234,49,17113,,
5,167,48,15120,,
4,221,43,15339,,
1,174,53,13438,,
4,212,56,15582,,
5,201,52,15441,,
4,245,61,16002,,
5,220,40,16009,,
12,186,48,18106,,
6,221,44,16501,,
3,227,61,15505,,
5,244,60,16195,,
14,230,48,20294,,
5,198,59,15475,,
5,225,51,16243,,
3,231,50,15065,,
1,228,55,14359,,
11,233,44,19377,,
2,220,37,14135,,
8,242,48,17448,,
6,213,48,15958,,
10,213,52,18287,,
2,252,51,15534,,
2,230,56,14935,,
12,255,50,19331,,
8,240,43,17131,,
9,230,52,17983,,
5,221,58,16842,,
9,212,40,17569,,
5,241,48,15882,,
9,202,41,17049,,
1,200,48,13556,,
1,227,47,14692,,
8,204,49,17000,,
6,235,59,17200,,
5,217,64,15409,,
10,184,36,17283,,
5,173,47,15477,,
6,224,51,16763,,
9,223,70,18434,,
1,218,44,13731,,
5,233,76,17251,,
7,246,44,17051,,
7,209,44,16346,,
14,249,67,21095,,
6,228,47,16434,,
4,197,56,15834,,
8,214,45,16968,,
5,209,51,15949,,
5,234,56,16056,,
10,222,52,18392,,
6,230,43,16415,,
14,220,56,19948,,
9,220,54,18189,,
3,194,42,14398,,
6,265,59,17359,,
4,210,55,15817,,
3,270,52,15861,,
7,238,43,16355,,
11,225,56,18333,,
2,196,68,14562,,
11,236,57,19677,,
11,217,37,18793,,
4,190,51,14276,,
4,227,46,16808,,
3,217,41,15002,,
4,173,49,14354,,
5,223,63,15926,,
3,241,38,14742,,
6,201,48,16481,,
9,194,32,16307,,
6,238,44,16569,,
5,229,63,17322,,
3,222,40,14711,,
3,268,55,16009,,
5,196,36,15102,,
6,222,28,15499,,
10,218,48,18456,,
5,224,52,15767,,
11,223,40,18890,,
4,209,42,14901,,
6,245,45,16785,,
10,235,60,18786,,
1,219,52,14727,,
10,200,55,18009,,
1,224,50,14526,,
8,212,50,16627,,
1,169,56,13075,,
5,214,35,16105,,
3,213,49,14782,,
5,217,52,15889,,
2,250,43,15158,,
3,227,54,15073,,
7,240,52,17125,,
6,209,49,16377,,
4,234,65,15888,,
2,226,60,14414,,
10,219,53,18329,,
6,215,34,16245,,
3,223,56,16120,,
5,191,52,15548,,
8,209,44,17432,,
9,207,36,16922,,
5,245,49,16142,,
2,211,60,14630,,
2,239,64,15131,,
8,203,59,17697,,
4,244,47,16116,,
10,228,52,18485,,
6,241,44,16980,,
5,236,46,17066,,
8,214,40,17202,,
1,214,55,14702,,
13,238,40,18692,,
11,182,56,18549,,
4,242,59,15859,,
4,224,56,16044,,
8,180,37,15941,,
5,229,39,15675,,
4,234,60,15682,,
7,190,44,15843,,
12,201,48,18248,,
4,201,68,15333,,
8,246,31,17496,,
12,221,52,19809,,
13,246,36,19329,,
5,193,36,15600,,
4,274,50,16292,,
5,269,51,17677,,
5,176,48,15141,,
5,212,47,14897,,
8,211,55,17520,,
8,222,55,17164,,
5,234,44,15999,,
2,234,48,14542,,
14,194,50,20225,,
11,199,56,18203,,
6,253,52,16787,,
2,226,54,14959,,
4,190,64,15132,,
3,252,46,16354,,
2,205,52,14652,,
4,182,61,15331,,
6,218,71,17002,,
7,189,44,16308,,
7,198,45,16282,,
3,162,48,14110,,
4,226,47,15426,,
5,222,51,15983,,
7,211,60,16801,,
6,232,54,17141,,
4,195,48,15122,,
5,238,63,16878,,
8,238,45,18274,,
2,194,48,14176,,
6,243,64,17549,,
5,217,51,16049,,
1,229,32,14017,,
14,218,56,20139,,
5,234,60,16659,,
5,227,56,15975,,
6,221,66,16728,,
6,227,57,16693,,
5,228,56,15925,,
8,193,54,16763,,
6,239,44,16852,,
2,234,42,14950,,
2,195,72,14863,,
3,220,68,15853,,
3,167,46,13428,,
7,238,58,17570,,
6,232,53,16561,,
8,142,40,15070,,
10,202,34,19190,,
3,200,48,14269,,
1,239,59,14916,,
5,231,56,16256,,
3,221,52,15231,,
7,173,36,16070,,
3,228,61,15416,,
7,246,47,19036,,
11,220,52,18214,,
6,212,63,17430,,
6,228,39,16590,,
4,217,48,15508,,
6,218,72,16789,,
5,230,60,16298,,
12,251,37,19320,,
4,210,45,14926,,
9,220,47,17496,,
7,152,36,15177,,
6,231,40,17025,,
9,223,48,18203,,
3,217,52,15160,,
4,228,48,15304,,
11,192,52,17503,,
7,226,33,16468,,
10,219,38,19035,,
10,219,60,18413,,
9,263,51,18470,,
6,191,38,16291,,
6,210,51,16301,,
9,196,60,17183,,
1,174,48,13361,,
2,214,56,14807,,
4,217,70,15195,,
3,215,48,14788,,
7,203,47,16604,,
4,232,51,15661,,
5,221,64,16259,,
11,234,52,19716,,
11,227,45,18612,,
3,204,52,14711,,
6,221,56,16886,,
4,206,39,14980,,
6,208,56,16544,,
10,149,39,16174,,
7,228,64,18047,,
9,230,50,17484,,
6,225,67,17826,,
10,223,38,18673,,
8,182,54,17540,,
7,231,38,16808,,
4,203,60,15227,,
11,239,48,19392,,
6,234,62,17194,,
4,238,47,15672,,
11,216,58,18565,,
1,207,56,13921,,
3,201,42,14521,,
3,209,56,15049,,
13,234,48,20127,,
3,253,68,17194,,
9,238,56,19122,,
7,198,41,16359,,
5,213,56,17027,,
10,213,37,17665,,
8,219,54,17209,,
10,211,64,19187,,
9,214,48,17482,,
5,190,63,16035,,
7,199,44,16070,,
5,209,48,15617,,
6,242,32,16130,,
8,196,60,17172,,
4,195,56,15475,,
7,171,63,16248,,
6,215,48,16745,,
7,219,53,16472,,
8,259,52,18133,,
11,153,32,17068,,
5,235,76,16635,,
8,226,44,17950,,
3,224,41,14494,,
14,199,48,18595,,
15,180,42,19767,,
4,212,52,14970,,
6,207,41,15891,,
5,252,48,16472,,
4,185,72,15210,,
8,175,36,16096,,
8,207,36,16870,,
4,240,60,15842,,
5,202,57,15297,,
8,212,44,16412,,
10,225,60,19013,,
4,203,44,14842,,
6,213,46,16684,,
4,195,49,15235,,
11,238,46,18159,,
2,166,49,13916,,
4,200,41,15107,,
8,243,52,18597,,
9,249,63,18640,,
4,213,47,15483,,
2,260,56,15242,,
3,215,50,14945,,
8,185,48,17197,,
9,200,50,17292,,
3,231,49,14822,,
3,211,56,15027,,
4,221,53,15502,,
7,209,52,16931,,
7,201,55,16787,,
3,220,48,15022,,
7,245,44,17365,,
6,241,58,17658,,
10,266,55,19549,,
5,224,52,16516,,
4,189,55,15177,,
11,220,48,18520,,
10,183,83,18600,,
9,249,38,18439,,
7,196,32,15632,,
10,157,48,17161,,
5,216,36,15263,,
9,168,56,16396,,
10,186,47,17592,,
6,239,40,17802,,
13,226,56,20047,,
2,203,42,13795,,
4,243,63,15714,,
2,243,47,16418,,
9,261,60,18012,,
3,194,42,14558,,
8,247,53,17779,,
6,225,54,16931,,
6,224,57,16555,,
5,185,48,16891,,
6,222,39,16940,,
7,236,53,17242,,
8,207,52,17734,,
10,204,51,17982,,
6,211,48,16162,,
12,227,56,18574,,
2,232,60,15123,,
6,211,60,16075,,
3,198,40,14443,,
5,252,42,16656,,
5,196,49,15938,,
1,217,51,14116,,
8,211,40,17054,,
4,226,48,15306,,
4,235,64,16193,,
10,222,40,18126,,
8,214,52,17592,,
7,173,57,16282,,
6,247,59,17167,,
7,172,42,15679,,
7,216,48,16045,,
6,213,49,16564,,
2,208,60,14376,,
2,214,45,14128,,
3,201,45,14584,,
9,218,64,18457,,
7,240,56,18282,,
7,232,36,17130,,
8,249,55,17759,,
8,197,48,17194,,
6,225,59,16527,,
7,223,64,17915,,
5,232,57,17610,,
12,165,64,19453,,
7,255,55,18772,,
1,229,56,14626,,
13,232,35,20387,,
6,236,47,17256,,
6,231,44,16601,,
1,247,50,14672,,
8,187,47,17001,,
8,217,55,18213,,
10,252,64,19862,,
9,242,60,18179,,
4,234,46,15796,,
6,177,43,15377,,
5,182,32,14874,,
7,245,40,17780,,
7,184,52,16804,,
7,202,56,17372,,
4,195,49,15162,,
3,202,57,14742,,
0,184,61,13078,,
2,203,45,13886,,
7,212,32,16632,,
6,264,57,17215,,
11,191,48,17528,,
5,252,52,16555,,
6,174,43,15246,,
3,184,44,14033,,
7,205,59,16778,,
11,225,63,18960,,
5,220,54,17065,,
9,243,44,18283,,
4,196,47,15190,,
9,229,44,18192,,
7,212,60,17329,,
5,247,52,16422,,
9,208,36,17385,,
11,188,64,16663,,
10,186,50,17902,,
8,206,36,17398,,
5,201,40,15532,,
6,197,48,15412,,
9,209,48,17718,,
8,199,48,17055,,
6,215,39,16020,,
6,203,48,16254,,
12,214,67,19201,,
5,211,50,15994,,
10,232,57,20352,,
0,190,54,12756,,
8,233,56,18661,,
2,265,67,15488,,
8,214,67,17547,,
12,227,49,19189,,
7,192,60,16749,,
5,257,54,16214,,
4,216,44,15500,,
2,219,51,14735,,
9,221,40,17489,,
16,230,36,20380,,
9,227,61,18048,,
5,220,42,15843,,
4,224,76,16810,,
5,182,40,15204,,
5,225,40,16006,,
6,204,55,16746,,
10,181,56,17648,,
12,202,44,18047,,
1,210,58,13976,,
11,196,38,17264,,
6,228,53,16767,,
10,230,67,19488,,
3,241,42,15875,,
8,203,66,17717,,
5,240,57,16864,,
3,227,46,14788,,
4,197,50,14743,,
11,172,41,17949,,
8,193,50,17737,,
5,218,39,15307,,
4,166,45,13973,,
7,225,77,18089,,
7,237,56,17224,,
11,187,42,17649,,
3,244,53,16886,,
2,235,47,14584,,
9,201,59,17331,,
8,246,48,17763,,
4,220,70,16814,,
3,209,50,14500,,
11,236,52,17435,,
4,199,50,14682,,
8,229,32,16752,,
3,227,67,15649,,
6,232,37,16124,,
18,236,44,21132,,
9,228,37,17569,,
9,202,46,17097,,
7,218,52,16906,,
5,233,53,16632,,
2,180,44,13449,,
8,190,35,16712,,
3,279,58,16372,,
9,235,56,17384,,
6,229,57,17075,,
11,233,60,18860,,
5,211,52,15381,,
2,180,51,13545,,
0,202,43,13256,,
3,219,48,14423,,
7,244,49,17551,,
11,189,60,19537,,
17,199,40,20218,,
5,193,49,15191,,
11,224,51,18802,,
7,237,65,17116,,
11,195,52,18230,,
6,228,48,15829,,
4,228,40,14729,,
8,208,77,17793,,
7,240,53,17525,,
8,224,41,17579,,
7,256,61,18227,,
4,192,48,14898,,
4,222,59,15769,,
12,188,36,19272,,
7,255,58,17788,,
3,197,63,14738,,
5,231,39,16113,,
9,231,42,18967,,
2,253,64,15416,,
9,232,36,18096,,
3,210,54,14411,,
4,250,48,15668,,
7,193,68,16288,,
11,198,49,18575,,
6,251,64,17379,,
3,220,55,15222,,
5,238,46,16191,,
2,231,61,14930,,
7,238,58,17062,,
4,205,44,14763,,
7,169,52,15351,,
11,212,43,17625,,
3,259,52,15933,,
11,198,48,18229,,
2,230,60,15356,,
7,216,56,17005,,
7,198,40,16747,,
6,187,50,16060,,
5,197,40,14998,,
6,221,49,16182,,
8,214,51,17065,,
3,222,80,15544,,
4,225,60,16541,,
6,184,43,15112,,
8,229,48,17550,,
8,262,52,18323,,
6,248,48,18553,,
4,225,46,15252,,
7,206,42,16863,,
1,216,60,13925,,
7,217,35,16828,,
4,189,46,15391,,
5,245,53,16350,,
6,223,56,17159,,
4,226,50,15484,,
5,254,63,17024,,
10,220,61,18680,,
4,188,59,14657,,
6,191,44,15550,,
6,208,47,15861,,
2,225,60,15202,,
4,211,40,15214,,
8,214,43,16171,,
9,238,52,18184,,
5,247,39,16751,,
6,250,55,16973,,
7,222,48,17239,,
2,232,52,14660,,
9,211,48,17429,,
8,250,40,18513,,
5,231,56,16225,,
5,247,60,16267,,
3,233,59,15478,,
7,212,56,16335,,
4,204,49,14826,,
9,226,44,19092,,
10,186,49,17619,,
9,199,36,16872,,
8,233,43,17265,,
11,243,49,19308,,
7,230,28,16535,,
6,226,43,16606,,
9,212,40,17168,,
4,215,41,14839,,
7,244,56,17812,,
3,201,41,14827,,
4,229,46,15578,,
7,215,52,16628,,
3,218,37,14609,,
1,171,52,13325,,
3,234,52,15277,,
6,226,52,16287,,
1,180,39,12747,,
9,206,56,17687,,
8,232,39,17187,,
3,178,36,14015,,
6,228,44,16291,,
4,229,72,16289,,
8,228,52,17234,,
3,201,41,14663,,
5,244,56,16278,,
14,150,47,19025,,
3,230,55,15366,,
0,246,64,14526,,
4,259,64,16547,,
2,231,53,14936,,
5,213,55,15594,,
9,208,44,17416,,
4,221,53,15722,,
3,256,76,16091,,
6,183,34,15048,,
17,239,52,23335,,
8,233,58,18272,,
5,223,54,16270,,
8,233,43,17298,,
4,244,56,17230,,
10,201,35,17098,,
8,211,64,17380,,
6,198,48,16829,,
3,218,39,14538,,
4,217,43,15159,,
5,177,44,14874,,
9,226,57,17721,,
9,254,51,20273,,
13,220,32,20103,,
7,199,45,16491,,
8,233,56,17640,,
5,197,50,15518,,
7,220,52,17381,,
3,238,52,15127,,
3,183,38,13794,,
3,240,48,15139,,
3,229,64,15929,,
2,224,60,14974,,
11,258,48,19695,,
4,219,54,15154,,
4,190,53,14766,,
9,209,48,17341,,
4,218,71,15464,,
8,251,63,18529,,
9,202,52,18149,,
3,212,40,15840,,
8,215,56,17915,,
5,235,56,16242,,
10,238,56,18498,,
10,219,55,19120,,
10,193,35,17948,,
6,219,56,16517,,
3,170,37,13452,,
5,210,58,15687,,
5,179,47,14763,,
7,211,56,16417,,
9,254,45,18168,,
7,189,40,15903,,
2,244,43,14702,,
11,224,41,18874,,
3,211,58,15225,,
4,246,44,15858,,
4,169,41,14693,,
3,217,68,15574,,
3,221,67,15692,,
9,251,52,18297,,
15,205,44,19247,,
1,236,54,15414,,
10,227,76,19601,,
3,225,56,15189,,
5,232,51,16452,,
2,238,40,14899,,
9,255,44,18964,,
12,236,44,18923,,
7,229,52,17472,,
3,188,42,14665,,
5,213,38,16415,,
2,191,48,13960,,
2,202,53,14773,,
11,247,50,19181,,
5,175,49,14528,,
6,218,47,15827,,
6,215,52,16179,,
3,247,45,15049,,
3,209,63,15453,,
1,256,52,14645,,
6,197,40,15766,,
7,227,67,18890,,
6,238,48,16450,,
6,225,48,16490,,
10,193,47,17408,,
6,229,49,16951,,
9,163,56,17120,,
2,207,44,14310,,
2,241,44,14689,,
8,217,76,18341,,
6,251,68,17772,,
4,224,70,16262,,
5,189,60,16239,,
6,193,52,16944,,
6,211,56,16939,,
2,221,47,14615,,
8,231,35,17706,,
8,217,64,17727,,
0,153,78,12988,,
8,234,48,17613,,
11,227,44,18632,,
5,233,47,15476,,
4,224,44,15717,,
8,240,50,18253,,
3,205,36,14349,,
4,232,24,15407,,
4,211,60,15273,,
4,182,48,14868,,
4,199,49,14892,,
10,223,72,18509,,
6,241,63,17096,,
6,247,68,17377,,
7,235,33,16554,,
4,210,41,15256,,
9,230,55,17710,,
4,214,43,15041,,
9,247,41,19027,,
10,214,71,18718,,
7,231,48,16938,,
7,255,47,16772,,
6,160,52,16035,,
3,234,52,15518,,
7,195,51,17543,,
3,242,56,15829,,
5,231,63,17389,,
7,231,48,16683,,
6,240,43,16985,,
2,222,50,14904,,
8,237,43,17551,,
5,186,43,15278,,
6,191,56,15539,,
11,172,48,17860,,
3,207,61,15156,,
9,223,47,18152,,
5,252,48,16587,,
4,235,62,15562,,
4,200,40,14944,,
5,194,37,15269,,
7,224,52,17166,,
5,182,43,14813,,
6,205,37,15787,,
6,172,50,14795,,
15,224,52,19848,,
1,222,36,13886,,
6,212,44,16149,,
7,174,36,15312,,
7,224,44,17267,,
5,224,44,15961,,
9,196,68,17704,,
1,240,64,14808,,
5,227,55,16374,,
6,242,52,16933,,
11,208,52,18156,,
12,232,44,19397,,
7,209,45,17033,,
11,236,50,19061,,
7,229,72,16653,,
5,237,50,16781,,
5,210,52,15978,,
3,241,72,15859,,
6,196,56,16205,,
10,197,34,17528,,
8,202,55,17154,,
4,247,46,16112,,
5,226,36,16210,,
6,276,68,18369,,
5,243,52,16097,,
1,194,49,13196,,
5,201,37,15552,,
11,190,50,17597,,
5,216,49,15709,,
5,230,63,17035,,
3,229,52,15000,,
9,240,63,18426,,
8,242,46,17634,,
11,263,61,20251,,
7,199,40,16034,,
2,226,52,14147,,
9,237,42,18304,,
5,186,51,15104,,
10,213,76,18847,,
2,253,66,15782,,
6,238,64,16893,,
10,200,64,18545,,
6,233,51,16918,,
13,187,46,18722,,
6,235,59,18247,,
6,217,56,17471,,
7,237,50,17641,,
4,181,40,14605,,
6,224,41,16249,,
6,226,41,17157,,
4,218,49,15165,,
5,215,50,15427,,
10,214,52,17878,,
10,236,48,18000,,
5,215,61,15851,,
5,229,60,15832,,
10,222,52,18931,,
7,201,44,16157,,
11,207,39,18354,,
7,246,56,17274,,
4,213,57,15372,,
13,215,72,20175,,
5,205,52,15486,,
4,237,55,16074,,
7,231,44,16849,,
6,188,52,16291,,
5,233,44,16164,,
7,221,51,17002,,
5,194,50,15342,,
1,199,36,13119,,
8,224,52,17472,,
3,231,52,15681,,
8,239,56,18634,,
1,209,47,13881,,
10,199,46,18145,,
9,203,50,17308,,
2,163,52,13049,,
14,220,53,20075,,
3,158,44,14377,,
9,213,43,17270,,
12,240,48,18967,,
2,191,56,14044,,
4,261,56,16467,,
8,198,51,17846,,
12,203,34,19993,,
4,232,66,16223,,
2,202,59,14071,,
3,245,51,15284,,
4,272,50,16346,,
2,225,53,14358,,
7,248,66,17206,,
2,236,58,14767,,
12,176,53,18291,,
3,203,52,14979,,
7,231,49,17214,,
7,177,52,16461,,
3,219,32,14027,,
7,224,56,17432,,
6,231,40,15969,,
7,195,42,16308,,
2,216,50,14119,,
6,214,48,16044,,
4,183,60,15011,,
3,169,46,14517,,
1,220,52,13653,,
8,191,61,17833,,
9,228,48,17759,,
6,240,32,16158,,
4,222,55,16147,,
6,220,50,17065,,
8,215,62,17287,,
6,195,60,15997,,
3,215,64,15387,,
5,211,60,16313,,
4,252,52,15987,,
7,169,44,16304,,
10,203,40,18177,,
7,240,56,17493,,
12,254,48,19443,,
4,186,45,14920,,
9,216,39,17511,,
9,197,40,16819,,
3,198,36,14703,,
7,203,64,16801,,
4,248,60,16254,,
4,204,60,15478,,
5,206,45,15363,,
9,212,36,17121,,
5,172,36,15069,,
5,179,36,15891,,
1,188,49,13316,,
6,215,44,15956,,
3,225,64,15661,,
6,198,57,16789,,
5,212,51,16347,,
3,201,48,14901,,
8,190,56,17018,,
8,165,42,16342,,
5,209,42,14801,,
9,209,43,17333,,
4,194,50,15052,,
4,227,46,15585,,
3,214,58,15273,,
5,188,48,15666,,
2,219,60,14591,,
3,191,44,14690,,
7,193,49,17151,,
6,211,43,16378,,
5,208,39,15661,,
7,231,49,16589,,
3,234,40,15900,,
5,196,25,14927,,
2,247,56,16875,,
8,207,60,17847,,
6,201,40,16369,,
4,264,75,17320,,
9,231,55,18532,,
8,202,54,17136,,
8,192,44,17137,,
8,245,44,19114,,
2,150,48,13555,,
4,213,36,14707,,
3,214,56,16025,,
8,196,39,16776,,
3,232,48,15379,,
5,239,64,17196,,
7,234,60,17200,,
9,180,50,17472,,
4,231,38,15435,,
6,229,62,16588,,
6,228,40,16784,,
9,191,44,16982,,
9,175,42,17635,,
5,225,46,15913,,
4,170,52,14487,,
2,233,72,15643,,
5,233,48,16853,,
12,195,58,18242,,
7,194,54,16866,,
2,232,44,14673,,
4,215,45,15463,,
6,210,41,15824,,
8,227,32,17129,,
6,236,33,16335,,
6,208,74,17099,,
10,234,52,19077,,
1,271,60,14983,,
9,219,40,17368,,
3,225,47,15286,,
5,209,56,16317,,
5,245,60,16364,,
3,173,47,14623,,
10,222,44,19938,,
5,216,64,16221,,
7,194,56,16544,,
8,229,54,17908,,
2,271,64,15831,,
9,230,55,17668,,
5,217,40,15470,,
6,207,59,16448,,
5,205,44,14877,,
13,226,48,18917,,
6,202,47,16356,,
3,170,59,14676,,
2,175,46,13126,,
10,207,44,17769,,
6,199,58,16051,,
6,252,56,17395,,
8,199,58,16819,,
5,236,56,16315,,
7,246,39,16846,,
2,236,42,15951,,
7,228,40,16858,,
10,176,48,17335,,
7,194,52,16781,,
8,222,57,17225,,
6,252,60,16948,,
7,188,40,16056,,
5,180,43,15440,,
8,178,40,16058,,
5,256,44,16315,,
9,188,58,17326,,
5,225,65,16851,,
6,234,44,16853,,
9,211,52,17556,,
11,175,51,17840,,
10,243,59,18725,,
5,222,48,16781,,
5,206,41,15376,,
2,218,43,14193,,
7,206,44,16862,,
4,239,64,17003,,
4,231,50,15506,,
10,221,33,18724,,
4,242,54,16422,,
13,194,43,18337,,
6,210,48,15385,,
6,211,52,15566,,
8,239,51,18326,,
6,226,42,16299,,
1,221,59,13991,,
3,203,40,14205,,
6,270,43,17955,,
13,232,39,20862,,
0,255,54,14197,,
5,264,59,16788,,
3,179,54,14798,,
3,220,69,15598,,
5,238,59,16655,,
8,206,60,16804,,
6,198,60,15977,,
4,233,46,15654,,
10,239,60,19035,,
4,226,72,16247,,
8,235,54,18074,,
8,233,39,17274,,
10,201,48,17839,,
6,218,40,16700,,
6,192,43,15852,,
4,221,40,15296,,
1,219,52,14426,,
4,248,66,15856,,
11,191,38,17895,,
6,208,44,15728,,
5,232,39,17333,,
8,197,54,16404,,
6,206,52,15738,,
0,207,48,13580,,
6,237,48,16773,,
4,215,33,14993,,
2,241,48,15219,,
6,203,48,16046,,
6,186,54,15683,,
5,199,69,16408,,
3,228,38,15104,,
6,180,41,16113,,
11,219,35,18894,,
7,212,59,16652,,
4,218,40,15409,,
8,193,57,16733,,
12,189,26,17307,,
5,223,48,15283,,
3,215,52,14428,,
7,193,47,16679,,
4,188,45,15400,,
7,216,40,16230,,
4,249,56,16028,,
4,250,47,15731,,
4,218,46,14816,,
4,229,60,15862,,
1,241,48,14140,,
6,242,55,16699,,
2,182,43,13405,,
8,224,41,17538,,
15,261,32,19038,,
9,209,54,18082,,
1,217,39,14004,,
4,253,62,16349,,
2,252,68,15373,,
7,235,43,16559,,
5,203,48,16513,,
10,240,67,19886,,
6,247,67,17167,,
5,241,55,16809,,
10,200,35,18178,,
3,215,52,14742,,
4,207,38,15126,,
5,195,56,15449,,
4,208,39,15233,,
2,208,54,14602,,
3,245,51,15390,,
5,231,47,16766,,
6,181,34,16093,,
3,220,48,15575,,
7,199,65,16953,,
6,204,39,15529,,
6,242,60,16836,,
3,158,45,13820,,
12,226,42,19321,,
3,228,56,15834,,
7,191,42,16585,,
5,174,54,15483,,
6,276,44,17834,,
5,251,39,16858,,
17,205,43,20619,,
9,257,45,18449,,
7,224,63,17354,,
7,214,42,16097,,
6,211,31,16138,,
8,220,56,17794,,
11,197,56,19218,,
10,230,64,18501,,
4,248,64,15922,,
6,203,51,16119,,
3,200,48,14625,,
7,193,40,16685,,
2,210,44,13895,,
14,174,46,19890,,
6,190,41,15164,,
10,224,45,17498,,
13,212,59,19452,,
9,255,44,17322,,
8,231,52,17243,,
8,214,63,18020,,
6,208,56,16289,,
9,263,58,18303,,
4,212,56,15728,,
6,226,51,16097,,
2,215,64,14414,,
9,194,35,15852,,
4,215,53,15202,,
2,242,83,15572,,
8,208,41,16488,,
5,168,48,14353,,
13,223,40,19133,,
